# sresa2_ncar-pcm1_2_Prcp,,,,,,,,,,,,,,
,Arizona/New Mexico Mountains,Arizona/New Mexico Plateau,Central Basin and Range,Chihuahuan Deserts,Colorado Plateaus,High Plains,Mojave Basin and Range,Northern Basin and Range,Northwestern Great Plains,Sonoran Basin and Range,Southern Rockies,Southwestern Tablelands,Wasatch and Uinta Mountains,Wyoming Basin
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
1955-02-16T00:00:00Z,0.6016882,0.4374816,0.7342908,0.25357834,0.4298835,0.3602527,0.5832236,1.1285901,0.49878863,0.9170232,1.4690741,0.3167149,0.8111515,0.74257994
1955-03-15T00:00:00Z,0.6419259,0.49274656,2.8461473,0.2184128,0.86891586,0.8769863,1.7722249,2.1731527,1.326152,0.8469846,1.6471212,0.26529115,2.74716,1.7317924
1955-04-15T00:00:00Z,0.38098714,0.33552545,1.0278689,0.078630894,0.6081273,1.4679519,0.5179828,1.8846873,2.0614731,0.47036684,1.5948068,0.23122917,1.7606456,1.6925613
1955-05-15T00:00:00Z,0.26548785,0.2556637,0.72758424,0.07040926,0.5258116,2.504275,0.38331047,1.3396871,1.8244404,0.25274122,1.4157506,0.22494099,1.1539237,1.4789076
1955-06-15T00:00:00Z,0.21042278,0.20719597,0.14701809,0.37143096,0.26304802,3.126645,0.072890595,1.8973653,2.3155966,0.057058036,1.575603,0.9974671,0.5635547,1.293076
1955-07-15T00:00:00Z,0.7380379,0.5554013,0.38302597,1.1132921,0.35580447,2.0446012,0.4178334,0.42730343,1.2696134,0.7041761,1.6142365,1.3521197,0.43243366,0.77962035
1955-08-15T00:00:00Z,0.9568969,0.8386289,0.50642157,1.3679663,0.45293912,0.75226027,0.3886132,0.7791309,0.29794377,0.4741112,1.5359194,2.1646965,0.5078362,0.48455313
1955-09-15T00:00:00Z,0.94496125,0.80624425,0.47762594,0.8222725,0.73224413,1.4037437,0.35860166,0.86094224,0.9601856,0.49927625,1.5707747,1.1686717,0.7931454,1.0152581
1955-10-15T00:00:00Z,0.7236516,0.5580748,0.66982484,0.8631916,0.43085158,0.44284385,0.43290246,0.32007727,0.63616484,0.53789407,0.77101237,0.5542326,0.6850317,0.51369274
1955-11-15T00:00:00Z,0.9717775,0.71343523,0.7814654,0.82318807,0.53944796,0.41251674,0.5459953,0.44632864,0.55883586,1.1671786,1.404399,0.7963586,0.7009781,0.44711167
1955-12-15T00:00:00Z,0.69156426,0.4524119,0.42110902,0.61109114,0.34068885,0.22263339,0.2922769,1.1596575,0.45348227,0.5738364,0.80374306,0.46697208,0.75228643,0.46865562
1956-01-16T00:00:00Z,0.90294987,0.6006731,1.2967296,0.24354184,0.803208,0.26560438,0.9828553,2.1421928,0.5210998,1.5483497,1.140288,0.15374768,2.229338,1.2952482
1956-02-16T00:00:00Z,0.08134113,0.045748744,0.21565294,0.270984,0.1517387,0.100044206,0.015221618,0.8654401,0.20003858,0.003082617,0.4510252,0.2323151,0.7041844,0.5269042
1956-03-15T00:00:00Z,0.6555487,0.5015242,1.8807695,0.29094055,0.9408965,1.1392589,0.98200715,2.0861278,1.1303856,0.40190688,2.3545706,0.374171,2.34193,1.8775201
1956-04-15T00:00:00Z,1.3405223,1.1743761,3.4919178,0.5600445,1.8610315,2.6589315,2.3624387,1.8480668,2.1110406,1.2700166,4.860386,0.9625806,3.6448317,2.915855
1956-05-15T00:00:00Z,0.9407611,0.7813515,1.1290796,0.77430576,1.3038195,2.882594,0.4313158,4.061244,2.4523509,0.16564612,2.7057574,1.6083875,2.3023205,2.4233708
1956-06-15T00:00:00Z,0.41412902,0.33475775,0.35399026,0.42704958,0.42579433,1.5559281,0.20263153,1.1679494,1.5149193,0.11261217,0.84904647,0.5675122,0.82578,1.0608588
