# sresa2_miroc3-2-medres_1_Prcp,,,,,,,,,,,,,,
,Arizona/New Mexico Mountains,Arizona/New Mexico Plateau,Central Basin and Range,Chihuahuan Deserts,Colorado Plateaus,High Plains,Mojave Basin and Range,Northern Basin and Range,Northwestern Great Plains,Sonoran Basin and Range,Southern Rockies,Southwestern Tablelands,Wasatch and Uinta Mountains,Wyoming Basin
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
1957-07-15T00:00:00Z,0.96421003,0.7121112,0.6492696,1.195082,0.63178504,0.77846634,0.430359,1.3831064,0.31965673,0.42189634,1.2596791,1.2323288,0.91939276,0.8282097
1957-08-15T00:00:00Z,1.2334661,1.0231937,0.68769246,1.4060968,0.5435262,0.57191277,0.523686,0.82386285,0.21067145,0.7488397,1.0770385,1.626333,0.67720914,0.41140136
1957-09-15T00:00:00Z,0.81990784,0.58202976,0.5958187,1.7628314,0.60863566,1.689803,0.3251074,2.4038973,1.9412228,0.11617458,1.4606731,2.1005995,1.1367252,1.2736813
1957-10-15T00:00:00Z,2.1328158,1.6211479,0.31379113,2.6376822,1.1516148,0.838596,0.14459457,0.42490664,1.4125541,0.22704099,2.5722656,2.7336867,0.7358089,1.0138497
1957-11-15T00:00:00Z,0.27677488,0.22216737,0.83858556,0.047458258,0.42221087,0.30983052,0.37954953,1.2780894,0.68634456,0.33674332,0.56377035,0.04895698,1.27423,0.90860325
1957-12-15T00:00:00Z,1.0885482,0.78304374,1.3690653,0.6011145,0.83628565,0.60862285,0.9921219,1.7042785,1.0610263,1.1487821,1.7954015,0.41519824,2.1023636,1.4222223
1958-01-16T00:00:00Z,2.1479213,1.4965535,2.568386,0.8143817,1.6535476,0.5961965,2.1981454,1.7952557,0.5930895,2.7612765,3.3938804,0.7839485,3.11429,1.7811409
1958-02-16T00:00:00Z,0.6737399,0.48891002,0.650353,0.7026606,0.5555233,0.7966481,0.37673047,1.2684498,0.99752426,0.453908,2.5343645,0.795768,1.1348934,1.4136099
1958-03-15T00:00:00Z,0.7422918,0.51066,2.3890364,0.6356228,0.91530174,0.65870917,1.1924285,3.2210984,1.4485382,0.3136663,1.3671291,0.5590461,3.2751372,2.189026
1958-04-15T00:00:00Z,0.68085885,0.5532576,1.2194915,0.2061415,0.7177649,0.87890553,0.6440931,1.6081107,0.974118,0.550442,1.2636112,0.2620462,1.7222885,1.2876687
1958-05-15T00:00:00Z,0.82111037,0.68859416,2.2219183,0.59796876,1.1437901,2.0388267,1.103382,4.0682287,2.3155084,0.55337334,1.5263523,0.91725475,3.3496716,2.8167777
1958-06-15T00:00:00Z,0.43221036,0.35279402,0.6423737,0.44041276,0.36639014,2.0617692,0.3891176,1.3136892,2.5058653,0.27434266,0.9619225,0.91223043,0.92908627,0.99231094
1958-07-15T00:00:00Z,1.5108391,1.092955,0.58574957,1.7246003,0.5149673,1.7476841,0.6773902,0.87829316,1.487179,1.0200797,1.5145255,1.7921233,0.6797718,0.9763637
1958-08-15T00:00:00Z,2.2813869,1.8731811,1.7372801,1.7677326,1.3379632,0.66873986,1.4791846,0.8786799,0.34054363,2.2984006,1.5640929,2.022726,1.6036528,0.76751995
1958-09-15T00:00:00Z,1.3627245,1.097175,0.8128121,1.4489888,0.90254366,1.1590525,0.6397237,0.5698697,0.7177323,0.84729457,1.5186819,1.3167807,0.99708635,0.9008109
1958-10-15T00:00:00Z,1.3182504,1.1212761,1.1749896,0.72910774,1.2836297,0.2824799,0.5827603,0.4037297,0.46695092,0.5481034,1.3704686,0.86948234,1.4829723,0.8205798
1958-11-15T00:00:00Z,0.6664671,0.56734896,1.516246,0.17324328,1.2146661,0.85961306,0.58402073,2.1777177,1.0844615,0.42854887,2.222189,0.18010344,2.5541866,1.9397632
1958-12-15T00:00:00Z,1.2875905,0.9562005,2.0002668,0.7176544,1.4627469,0.4285351,1.2052585,3.2396505,0.71023834,1.1000563,2.263819,0.7007357,3.578836,1.8992066
1959-01-16T00:00:00Z,0.6338986,0.44160628,1.861546,0.24693011,1.0253652,0.2552259,1.1383344,3.0700579,0.42472294,0.68416727,1.1569985,0.19258343,3.2143302,1.7722849
1959-02-16T00:00:00Z,0.96342283,0.7444943,4.2377286,0.21954884,1.635719,0.40109843,2.2804642,3.7059548,0.9367018,1.0574592,1.8547373,0.22548287,5.104421,2.6850963
1959-03-15T00:00:00Z,1.4804404,1.0749605,3.0620549,0.46154746,1.5532022,1.7033879,2.0529532,2.0825195,1.9734308,1.583068,3.0485673,0.48291078,3.1063,2.3645878
1959-04-15T00:00:00Z,1.9771986,1.5028914,2.9046414,1.1628819,1.7707971,1.2957944,1.8642122,1.9309177,2.037161,1.7509149,3.1298828,2.0931153,3.4865592,2.2999027
